"Geographic_Area","Total","Yes"
"Ghana",26210872,16062200
"Western",1764583,1133393
"Jomoro Municipal",107360,62541
"Ellembelle",102571,62907
"Nzema East Municipal",80117,43365
"Ahanta West Municipal",130920,79290
"Effia Kwesimintsim Municipal",152451,119891
"Sekondi Takoradi Metropolitan Area (STMA)",215264,165430
"STMA-Takoradi",44097,34871
"STMA-Sekondi",48664,38389
"STMA-Essikado-Ketan",122503,92170
"Shama",99730,61079
"Wassa East",84501,46537
"Mpohor",44877,26411
"Tarkwa-Nsuaem Municipal",188830,134479
"Prestea/Huni Valley Municipal",194660,122208
"Wassa Amenfi East Municipal",153172,88308
"Wassa Amenfi Central",99177,54938
"Wassa Amenfi West Municipal",110953,66009
"Central",2452182,1568592
"Komenda Edina Eguafo Abirem Municipal",142292,82246
"Cape Cape Metropolitan Area (CCMA)",167745,126667
"CCMA-Cape Coast South",62797,47073
"CCMA-Cape Coast North",104948,79594
"Abura Asebu Kwamankese",106380,59807
"Mfantsiman Municipal",145110,87900
"Ekumfi",48447,24589
"Gomoa West",110416,60406
"Effutu Municipal",97144,68561
"Gomoa Central",70506,43673
"Gomoa East",263330,188627
"Awutu Senya East Municipal",204402,154101
"Awutu Senya",135918,80778
"Agona East",85169,51988
"Agona West Municipal",118556,77580
"Asikuma Odoben Brakwa",108191,64084
"Ajumako Enyan Essiam",102534,61504
"Assin South",89638,51733
"Twifo Heman Lower Denkyira",56686,32540
"Twifo Ati Morkwa",85683,50065
"Assin Fosu Municipal",75269,51590
"Assin North",68643,40364
"Upper Denkyira East Municipal",93376,60946
"Upper Denkyira West",76747,48843
"Greater Accra",4766249,3697742
"Ga South Municipal",299902,213532
"Weija Gbawe Municipal",186046,147019
"Ga Central Municipal",289771,233562
"Ablekuma North Municipal",140678,114097
"Ablekuma West Municipal",134698,106818
"Ablekuma Central Municipal",149506,117966
"Accra Metropolitan Area (AMA)",251702,191083
"AMA-Ablekuma South",97130,74865
"AMA-Ashiedu Keteke",78046,52978
"AMA-Okaikoi South",76526,63240
"Korle Klottey Municipal",59873,49337
"Ayawaso Central Municipal",84582,68300
"Ayawaso East Municipal",46930,35077
"Ayawaso North Municipal",56387,44172
"La Dade-Kotopon Municipal",124714,103256
"Ledzokuku Municipal",192750,154650
"Krowor Municipal",127155,104259
"Adentan Municipal",233959,191787
"Ayawaso West Municipal",69290,60699
"Okaikoi North Municipal",142721,117256
"Ga North Municipal",206218,165766
"Ga West Municipal",268936,199530
"Ga East Municipal",249551,204503
"La Nkwantanang Madina Municipal",194492,157412
"Kpone Katamanso Municipal",352876,269888
"Ashaiman Municipal",180892,138525
"Tema West Municipal",173122,143304
"Tema Metropolitan Area (TMA)",156758,121052
"TMA-Tema Central",59287,50096
"TMA-Tema East",97471,70956
"Ningo-Prampram",174985,119501
"Shai-Osudoku",90167,58368
"Ada West",62698,31595
"Ada East",64890,35428
"Volta",1433518,864385
"South Tongu",97096,53968
"Anloga",82806,45455
"Keta Municipal",69270,41337
"Ketu South Municipal",215182,118499
"Ketu North Municipal",98809,52607
"Akatsi North",28145,13492
"Akatsi South Municipal",79487,43899
"Central Tongu",71441,36333
"North Tongu",94048,50649
"Ho West",72622,48355
"Adaklu",33122,17996
"Agortime-Ziope",34327,18515
"Ho Municipal",159176,122534
"South Dayi",49981,32384
"Afadzato South",63202,40064
"North Dayi",34416,23004
"Kpando Municipal",51247,35037
"Hohoe Municipal",99141,70257
"Eastern",2526584,1640997
"Birim South",30839,19850
"Birim Central Municipal",66226,48609
"Achiase",48212,28151
"Asene Manso Akroso",66299,39019
"West Akim Municipal",101863,63599
"Upper West Akim",81924,45950
"Ayensuano",80628,47240
"Nsawam Adoagyiri Municipal",133811,94574
"Akwapim South Municipal",67417,48056
"Akwapim North Municipal",92711,66122
"Okere",44829,27969
"New Juaben South Municipal",115142,91393
"New Juaben North Municipal",78498,60482
"Suhum Municipal",109269,73839
"Abuakwa North Municipal",66596,47173
"Abuakwa South Municipal",77592,52314
"Denkyembuor",67075,45167
"Akyemansa",77837,44539
"Kwaebibirem Municipal",105050,68011
"Birim North",70396,45621
"Atiwa West",52185,34532
"Atiwa East",54982,36365
"Fanteakwa South",47182,31925
"Yilo Krobo Municipal",106364,67933
"Lower Manya Krobo Municipal",107320,73990
"Asuogyaman",88640,58592
"Upper Manya Krobo",60435,30391
"Fanteakwa North",48855,28146
"Kwahu South Municipal",68233,41827
"Kwahu West Municipal",123911,84113
"Kwahu East",69201,42528
"Kwahu Afram Plains South",61571,27732
"Kwahu Afram Plains North",55491,25245
"Ashanti",4657976,3189225
"Amansie South",96077,59967
"Amansie Central",79713,46556
"Akrofuom",42000,25192
"Adansi South",72579,42605
"Adansi Asokwa",61426,35848
"Obuasi East",80113,57924
"Obuasi Municipal",91138,68966
"Adansi North",46720,31768
"Bekwai Municipal",118168,79286
"Amansie West",94921,59193
"Atwima Kwanwoma",199736,144463
"Bosomtwi",140832,99681
"Bosome Freho",52709,28661
"Asante Akim Central Municipal",78812,54685
"Asante Akim South Municipal",105085,63749
"Asante Akim North Municipal",72870,45482
"Sekyere Kumawu",54671,35154
"Sekyere East",63491,44231
"Juaben Municipal",54386,34018
"Ejisu Municipal",155104,111592
"Oforikrom Municipal",191523,156423
"Asokwa Municipal",109379,85549
"Kumasi Metropolitan Area (KMA)",390329,308779
"KMA-Nhyiaeso",101811,82202
"KMA-Subin",67518,54546
"KMA-Manhyia South",33987,27444
"KMA-Manhyia North",79992,60297
"KMA-Bantama",107021,84290
"Kwadaso Municipal",135835,109630
"Suame Municipal",117546,91466
"Old Tafo Municipal",99063,75976
"Asokore Mampong Municipal",165280,120544
"Kwabre East",251719,183971
"Afigya Kwabre South",197973,143311
"Atwima Nwabiagya North",131897,93341
"Atwima Nwabiagya South Municipal",138516,100165
"Atwima Mponua",130486,71605
"Ahafo Ano South West",55501,30577
"Ahafo Ano North Municipal",78239,46919
"Ahafo Ano South East",53077,28599
"Offinso North",69571,33167
"Offinso Municipal",115588,69877
"Afigya Kwabre North",61228,38082
"Sekyere South",102453,68327
"Mampong Municipal",99886,64781
"Ejura Sekyedumase Municipal",113791,58749
"Sekyere Central",61424,31743
"Sekyere Afram Plains",27121,8623
"Western North",749168,424001
"Aowin Municipal",113396,57329
"Sefwi Akontombra",56738,28538
"Suaman",33065,19230
"Bodi",56290,30959
"Sefwi Wiawso Municipal",129961,80270
"Bibiani Anhwiaso Bekwai Municipal",142752,91147
"Juaboso",75647,43275
"Bia West",96933,50411
"Bia East",44386,22842
"Ahafo",480708,293488
"Asunafo South",77812,46382
"Asunafo North Municipal",128786,79379
"Asutifi South",56858,33919
"Asutifi North",62748,38847
"Tano North Municipal",80359,50896
"Tano South Municipal",74145,44065
"Bono",1036053,658573
"Dormaa West",40151,23213
"Dormaa Central Municipal",96772,63608
"Dormaa East",58750,36641
"Sunyani Municipal",167690,124165
"Sunyani West Municipal",118184,79044
"Berekum East Municipal",92680,67453
"Berekum West",42867,27472
"Jaman South",93552,57398
"Jaman North",98714,59738
"Tain",97903,50327
"Wenchi Municipal",104857,58252
"Banda",23933,11262
"Bono East",1002548,512132
"Nkoranza South Municipal",96941,56208
"Techiman Municipal",205687,133936
"Nkoranza North",47630,24259
"Techiman North",86769,52926
"Atebubu Amantin Municipal",118960,53803
"Sene West",57955,22707
"Sene East",58109,21007
"Pru West",58026,22995
"Pru East",82945,36339
"Kintampo South",73533,33812
"Kintampo North Municipal",115993,54140
"Oti",616851,277396
"Biakoye",60758,33879
"Jasikan Municipal",51301,32125
"Kadjebi",62302,36251
"Krachi East Municipal",89444,37357
"Krachi West Municipal",51724,24094
"Krachi Nchumuru",65303,23451
"Nkwanta South Municipal",111510,43505
"Nkwanta North (Kpassa)",99790,29899
"Guan",24719,16835
"Northern",1828505,685416
"Kpandai",101761,32899
"Nanumba South",81362,21482
"Nanumba North Municipal",147632,43701
"Zabzugu",63185,16831
"Tatale Sanguli",58438,15845
"Saboba",78267,25369
"Yendi Municipal",124289,49084
"Mion",74183,14956
"Nanton",39171,10890
"Tamale Metropolitan Area (TMA)",306451,165829
"TMA-Tamale South",199809,99334
"TMA-Tamale Central",106642,66495
"Sagnarigu Municipal",279066,162170
"Tolon",91637,25697
"Kumbungu",85502,26182
"Savelugu Municipal",97657,33763
"Karaga",85838,17210
"Gushegu Municipal",114066,23508
"Savannah",521422,171068
"Bole",95212,40350
"Sawla Tuna Kalba",91820,24695
"North Gonja",47728,10795
"West Gonja",52372,24099
"Central Gonja",109438,30560
"East Gonja Municipal",95399,35043
"North East Gonja",29453,5526
"North East",522717,176167
"Mamprugu Moagduri",52976,12437
"West Mamprusi Municipal",139502,53619
"East Mamprusi Municipal",148796,48172
"Bunkpurugu Nakpanduri",69376,32968
"Yunyoo Nasuan",44688,11735
"Chereponi",67379,17236
"Upper East",1097541,464582
"Builsa South",30877,10258
"Builsa North Municipal",48511,20783
"Kasena Nankana Municipal",86077,46095
"Kasena Nankana West",76974,34655
"Bolgatanga Municipal",120864,69268
"Talensi",73545,30519
"Bolgatanga East",33204,18387
"Bongo",98289,41393
"Nabdam",45715,18803
"Bawku West",120238,41092
"Binduri",64780,20742
"Bawku Municipal",99916,45974
"Garu",60405,20012
"Tempane",72622,22601
"Pusiga",65524,24000
"Upper West",754267,305043
