"Geographic_Area","Total","No","Yes"
"Ghana",26210872,17981831,8229041
"Western",1764583,1266788,497795
"Jomoro Municipal",107360,70494,36866
"Ellembelle",102571,70163,32408
"Nzema East Municipal",80117,47041,33076
"Ahanta West Municipal",130920,89830,41090
"Effia Kwesimintsim Municipal",152451,134717,17734
"Sekondi Takoradi Metropolitan Area (STMA)",215264,187091,28173
"STMA-Takoradi",44097,38931,5166
"STMA-Sekondi",48664,43153,5511
"STMA-Essikado-Ketan",122503,105007,17496
"Shama",99730,70687,29043
"Wassa East",84501,51590,32911
"Mpohor",44877,29547,15330
"Tarkwa-Nsuaem Municipal",188830,150448,38382
"Prestea/Huni Valley Municipal",194660,135281,59379
"Wassa Amenfi East Municipal",153172,96650,56522
"Wassa Amenfi Central",99177,61190,37987
"Wassa Amenfi West Municipal",110953,72059,38894
"Central",2452182,1768563,683619
"Komenda Edina Eguafo Abirem Municipal",142292,93516,48776
"Cape Cape Metropolitan Area (CCMA)",167745,141159,26586
"CCMA-Cape Coast South",62797,52172,10625
"CCMA-Cape Coast North",104948,88987,15961
"Abura Asebu Kwamankese",106380,67750,38630
"Mfantsiman Municipal",145110,99684,45426
"Ekumfi",48447,27613,20834
"Gomoa West",110416,66537,43879
"Effutu Municipal",97144,73723,23421
"Gomoa Central",70506,49991,20515
"Gomoa East",263330,216957,46373
"Awutu Senya East Municipal",204402,175399,29003
"Awutu Senya",135918,90794,45124
"Agona East",85169,58818,26351
"Agona West Municipal",118556,87945,30611
"Asikuma Odoben Brakwa",108191,71791,36400
"Ajumako Enyan Essiam",102534,68990,33544
"Assin South",89638,58461,31177
"Twifo Heman Lower Denkyira",56686,37321,19365
"Twifo Ati Morkwa",85683,55604,30079
"Assin Fosu Municipal",75269,59189,16080
"Assin North",68643,44300,24343
"Upper Denkyira East Municipal",93376,69399,23977
"Upper Denkyira West",76747,53622,23125
"Greater Accra",4766249,4122071,644178
"Ga South Municipal",299902,241825,58077
"Weija Gbawe Municipal",186046,165005,21041
"Ga Central Municipal",289771,260147,29624
"Ablekuma North Municipal",140678,126294,14384
"Ablekuma West Municipal",134698,119551,15147
"Ablekuma Central Municipal",149506,130546,18960
"Accra Metropolitan Area (AMA)",251702,209855,41847
"AMA-Ablekuma South",97130,83425,13705
"AMA-Ashiedu Keteke",78046,56644,21402
"AMA-Okaikoi South",76526,69786,6740
"Korle Klottey Municipal",59873,53419,6454
"Ayawaso Central Municipal",84582,75281,9301
"Ayawaso East Municipal",46930,38650,8280
"Ayawaso North Municipal",56387,48817,7570
"La Dade-Kotopon Municipal",124714,114864,9850
"Ledzokuku Municipal",192750,171721,21029
"Krowor Municipal",127155,115239,11916
"Adentan Municipal",233959,212006,21953
"Ayawaso West Municipal",69290,64354,4936
"Okaikoi North Municipal",142721,129676,13045
"Ga North Municipal",206218,186639,19579
"Ga West Municipal",268936,229686,39250
"Ga East Municipal",249551,227723,21828
"La Nkwantanang Madina Municipal",194492,174428,20064
"Kpone Katamanso Municipal",352876,306187,46689
"Ashaiman Municipal",180892,153840,27052
"Tema West Municipal",173122,158957,14165
"Tema Metropolitan Area (TMA)",156758,134537,22221
"TMA-Tema Central",59287,55292,3995
"TMA-Tema East",97471,79245,18226
"Ningo-Prampram",174985,134056,40929
"Shai-Osudoku",90167,64917,25250
"Ada West",62698,34607,28091
"Ada East",64890,39244,25646
"Volta",1433518,951793,481725
"South Tongu",97096,59084,38012
"Anloga",82806,49122,33684
"Keta Municipal",69270,44933,24337
"Ketu South Municipal",215182,133645,81537
"Ketu North Municipal",98809,57670,41139
"Akatsi North",28145,14831,13314
"Akatsi South Municipal",79487,48372,31115
"Central Tongu",71441,39561,31880
"North Tongu",94048,54698,39350
"Ho West",72622,52669,19953
"Adaklu",33122,19800,13322
"Agortime-Ziope",34327,20499,13828
"Ho Municipal",159176,134693,24483
"South Dayi",49981,35517,14464
"Afadzato South",63202,44721,18481
"North Dayi",34416,25166,9250
"Kpando Municipal",51247,38425,12822
"Hohoe Municipal",99141,78387,20754
"Eastern",2526584,1825842,700742
"Birim South",30839,22094,8745
"Birim Central Municipal",66226,54203,12023
"Achiase",48212,31052,17160
