"","distcode","adolescent_birth_rate_12_14"
"1","Jomoro Municipal",0
"2","Ellembelle",2.54452926208651
"3","Nzema East Municipal",3.24675324675325
"4","Ahanta West Municipal",0
"5","Effia Kwesimintsim Municipal",0
"6","Sekondi Takoradi Metropolitan Area (STMA)",0
"7","Shama",2.20264317180617
"8","Wassa East",5.54016620498615
"9","Mpohor",0
"10","Tarkwa-Nsuaem Municipal",1.64473684210526
"11","Prestea/Huni Valley Municipal",3.91134289439374
"12","Wassa Amenfi East Municipal",3.55871886120996
"13","Wassa Amenfi Central",0
"14","Wassa Amenfi West Municipal",2.79329608938547
"15","Komenda Edina Eguafo Abirem Municipal",0
"16","Cape Coast Metropolitan Area (CCMA)",1.70068027210884
"17","Abura Asebu Kwamankese",0
"18","Mfantsiman Municipal",0
"19","Ekumfi",4.67289719626168
"20","Gomoa West",2.17391304347826
"21","Effutu Municipal",0
"22","Gomoa Central",3.40136054421769
"23","Gomoa East",0.99601593625498
"24","Awutu Senya East Municipal",0
"25","Awutu Senya",0
"26","Agona East",0
"27","Agona West Municipal",4.3956043956044
"28","Asikuma Odoben Brakwa",4.55580865603645
"29","Ajumako Enyan Essiam",2.5062656641604
"30","Assin South",0
"31","Twifo Heman Lower Denkyira",8.43881856540084
"32","Twifo Ati Morkwa",3.003003003003
"33","Assin Fosu Municipal",0
"34","Assin North",3.64963503649635
"35","Upper Denkyira East Municipal",2.89855072463768
"36","Upper Denkyira West",4.01606425702811
"37","Ga South Municipal",1.77462289263531
"38","Weija Gbawe Municipal",0
"39","Ga Central Municipal",0
"40","Ablekuma North Municipal",0
"41","Ablekuma West Municipal",2.06185567010309
"42","Ablekuma Central Municipal",0
"43","Accra Metropolitan Area (AMA)",1.2987012987013
"44","Korle Klottey Municipal",0
"45","Ayawaso Central Municipal",0
"46","Ayawaso East Municipal",0
"47","Ayawaso North Municipal",0
"48","La Dade-Kotopon Municipal",0
"49","Ledzokuku Municipal",0
"50","Krowor Municipal",0
"51","Adentan Municipal",0
"52","Ayawaso West Municipal",0
"53","Okaikoi North Municipal",0
"54","Ga North Municipal",0
"55","Ga West Municipal",0
"56","Ga East Municipal",0
"57","La Nkwantanang Madina Municipal",0
"58","Kpone Katamanso Municipal",0
"59","Ashaiman Municipal",0
"60","Tema West Municipal",0
"61","Tema Metropolitan Area (TMA)",2.12765957446809
"62","Ningo-Prampram",3.92670157068063
"63","Shai-Osudoku",0
"64","Ada West",3.78787878787879
"65","Ada East",11.070110701107
"66","South Tongu",2.49376558603491
"67","Anloga",0
"68","Keta Municipal",0
"69","Ketu South Municipal",1.15740740740741
"70","Ketu North Municipal",5.57103064066852
"71","Akatsi North",9.52380952380952
"72","Akatsi South Municipal",0
"73","Central Tongu",0
"74","North Tongu",7.28155339805825
"75","Ho West",3.92156862745098
"76","Adaklu",0
"77","Agortime-Ziope",0
"78","Ho Municipal",2.06611570247934
"79","South Dayi",0
"80","Afadzato South",0
"81","North Dayi",0
"82","Kpando Municipal",0
"83","Hohoe Municipal",2.48138957816377
"84","Birim South",0
"85","Birim Central Municipal",4.52488687782805
"86","Achiase",0
"87","Asene Manso Akroso",0
"88","West Akim Municipal",0
"89","Upper West Akim",0
"90","Ayensuano",0
"91","Nsawam Adoagyiri Municipal",0
"92","Akwapim South Municipal",0
"93","Akwapim North Municipal",0
"94","Okere",0
"95","New Juaben South Municipal",0
"96","New Juaben North Municipal",0
"97","Suhum Municipal",0
"98","Abuakwa North Municipal",0
"99","Abuakwa South Municipal",0
"100","Denkyembuor",4.01606425702811
"101","Akyemansa",0
"102","Kwaebibirem Municipal",6.74157303370786
"103","Birim North",3.690036900369
"104","Atiwa West",0
"105","Atiwa East",10.3092783505155
"106","Fanteakwa South",6.45161290322581
"107","Yilo Krobo Municipal",2.38663484486873
"108","Lower Manya Krobo Municipal",2.5706940874036
"109","Asuogyaman",2.78551532033426
"110","Upper Manya Krobo",0
"111","Fanteakwa North",5.49450549450549
"112","Kwahu South Municipal",3.93700787401575
"113","Kwahu West Municipal",0
"114","Kwahu East",7.96812749003984
"115","Kwahu Afram Plains South",0
"116","Kwahu Afram Plains North",0
"117","Amansie South",3.37837837837838
"118","Amansie Central",6.94444444444444
"119","Akrofuom",6.75675675675676
"120","Adansi South",0
"121","Adansi Asokwa",0
"122","Obuasi East",3.17460317460317
"123","Obuasi Municipal",0
"124","Adansi North",0
"125","Bekwai Municipal",2.39808153477218
"126","Amansie West",0
"127","Atwima Kwanwoma",1.2531328320802
"128","Bosomtwi",5.47445255474453
"129","Bosome Freho",0
"130","Asante Akim Central Municipal",0
"131","Asante Akim South Municipal",4.75059382422803
"132","Asante Akim North Municipal",7.96812749003984
"133","Sekyere Kumawu",0
"134","Sekyere East",0
"135","Juaben Municipal",0
"136","Ejisu Municipal",0
"137","Oforikrom Municipal",0
"138","Asokwa Municipal",0
"139","Kumasi Metropolitan Area (KMA)",0.75187969924812
"140","Kwadaso Municipal",0
"141","Suame Municipal",0
"142","Old Tafo Municipal",2.80112044817927
"143","Asokore Mampong Municipal",0
"144","Kwabre East",0
"145","Afigya Kwabre South",0
"146","Atwima Nwabiagya North",0
