"","distcode","unemployed_disabled"
"1","Jomoro Municipal",7.7007700770077
"2","Ellembelle",5.71030640668524
"3","Nzema East Municipal",4.39814814814815
"4","Ahanta West Municipal",5.64263322884013
"5","Effia Kwesimintsim Municipal",5.6
"6","Sekondi Takoradi Metropolitan Area (STMA)",7.16845878136201
"7","Shama",6.67903525046382
"8","Wassa East",6.60024906600249
"9","Mpohor",6.55172413793103
"10","Tarkwa-Nsuaem Municipal",6.94275274056029
"11","Prestea/Huni Valley Municipal",4.57198443579767
"12","Wassa Amenfi East Municipal",7.76583034647551
"13","Wassa Amenfi Central",6.52173913043478
"14","Wassa Amenfi West Municipal",3.55239786856128
"15","Komenda Edina Eguafo Abirem Municipal",5.36423841059603
"16","Cape Coast Metropolitan Area (CCMA)",6.93852708460134
"17","Abura Asebu Kwamankese",5.67092651757188
"18","Mfantsiman Municipal",6.19217081850534
"19","Ekumfi",3.34448160535117
"20","Gomoa West",6.66666666666667
"21","Effutu Municipal",6.12244897959184
"22","Gomoa Central",5.82120582120582
"23","Gomoa East",6.92883895131086
"24","Awutu Senya East Municipal",7.23025583982202
"25","Awutu Senya",8.3969465648855
"26","Agona East",6.16666666666667
"27","Agona West Municipal",7.17647058823529
"28","Asikuma Odoben Brakwa",3.99320305862362
"29","Ajumako Enyan Essiam",5.41902961562697
"30","Assin South",3.85093167701863
"31","Twifo Heman Lower Denkyira",4.42307692307692
"32","Twifo Ati Morkwa",4.21455938697318
"33","Assin Fosu Municipal",6.80907877169559
"34","Assin North",4.43349753694581
"35","Upper Denkyira East Municipal",7.24852071005917
"36","Upper Denkyira West",8.63309352517986
"37","Ga South Municipal",6.65247472059606
"38","Weija Gbawe Municipal",5.54885404101327
"39","Ga Central Municipal",7.05229793977813
"40","Ablekuma North Municipal",4.31818181818182
"41","Ablekuma West Municipal",7.32044198895028
"42","Ablekuma Central Municipal",6.03363006923838
"43","Accra Metropolitan Area (AMA)",7.90419161676647
"44","Korle Klottey Municipal",4.27807486631016
"45","Ayawaso Central Municipal",5.16934046345811
"46","Ayawaso East Municipal",4.29447852760736
"47","Ayawaso North Municipal",6.70553935860058
"48","La Dade-Kotopon Municipal",7.38177623990773
"49","Ledzokuku Municipal",5.73372206025267
"50","Krowor Municipal",7.3959938366718
"51","Adentan Municipal",5.41871921182266
"52","Ayawaso West Municipal",6.78851174934726
"53","Okaikoi North Municipal",6.60112359550562
"54","Ga North Municipal",5.67375886524823
"55","Ga West Municipal",6.38655462184874
"56","Ga East Municipal",6.20629370629371
"57","La Nkwantanang Madina Municipal",5.06863780359028
"58","Kpone Katamanso Municipal",6.45371577574967
"59","Ashaiman Municipal",7.54132231404959
"60","Tema West Municipal",4.66595970307529
"61","Tema Metropolitan Area (TMA)",6.88524590163934
"62","Ningo-Prampram",7.2463768115942
"63","Shai-Osudoku",4.96760259179266
"64","Ada West",7.01754385964912
"65","Ada East",11.0874200426439
"66","South Tongu",8.42754367934224
"67","Anloga",9.73066898349261
"68","Keta Municipal",7.90909090909091
"69","Ketu South Municipal",9.49278734295021
"70","Ketu North Municipal",7.17069368667186
"71","Akatsi North",3.24074074074074
"72","Akatsi South Municipal",7.56521739130435
"73","Central Tongu",3.11004784688995
"74","North Tongu",6.13496932515337
"75","Ho West",4.01459854014599
"76","Adaklu",5.80645161290323
"77","Agortime-Ziope",2.45283018867925
