District,Indicator_3.7.2_adolescent_birth_rate_12_14,Indicator_3.7.2_adolescent_birth_rate_15_19,Indicator_5.b.1_phone_ownership,Indicator_7.1.1_electricity_access,Indicator_6.1.1_safe_water,Indicator_9.2.2_manufacturing_employment ,Indicator_7.1.2_clean_energy_prim,Indicator_8.7.1_child_labour,Indicator_17.8.1_internet_use,Indicator_8.5.2_unemployment_rate_disable,Indicator_6.2.1_safely_managed_sanitation
Jomoro Municipal,0,84.07079646,25.51866522,88.75957199,89.14498707,11.49027861,28.32040164,0.738956883,69.01024427,7.700770077,42.326852
Ellembelle,2.544529262,98.36065574,26.71482676,87.34075149,81.91689512,5.47933652,30.74504112,0.921216433,72.1828681,5.710306407,56.7272417
Nzema East Municipal,3.246753247,98.80749574,24.82509557,82.61819207,74.53674347,6.612349132,20.67216233,3.229824718,63.46575198,4.398148148,46.225706
Ahanta West Municipal,0,92.20779221,27.94727872,95.10869565,96.35214008,10.35292701,36.58433429,0.671051934,72.6010522,5.642633229,46.00158877
Effia Kwesimintsim Municipal,0,31.13772455,25.87569675,98.65591898,99.82687045,9.577730597,70.64802576,0.33869361,90.29423411,5.6,66.59260992
Sekondi Takoradi Metropolitan Area (STMA),0,23.58827734,26.5499147,98.18614976,99.79560344,9.515814685,61.11186312,0.344800096,88.6210024,7.168458781,64.34589231
Shama,2.202643172,69.35483871,29.10796984,92.60346079,97.90658277,14.79114836,32.58712488,1.09039136,73.59309459,6.67903525,46.32378624
Wassa East,5.540166205,168.9497717,32.70785219,81.36014928,78.50922662,3.903519304,16.18287373,1.31516021,66.76096998,6.600249066,67.40583232
Mpohor,0,95.05703422,30.4625709,88.29558027,87.45705468,6.535543692,22.47132126,0.449625312,69.47884211,6.551724138,51.9379845
Tarkwa-Nsuaem Municipal,1.644736842,56,25.24536805,94.2842884,95.37488257,5.47029101,54.96418506,0.415357693,83.20543315,6.942752741,59.26358036
Prestea/Huni Valley Municipal,3.911342894,62.22222222,27.03273299,89.31491914,87.7521352,5.954192251,36.13332122,0.703473169,74.51259604,4.571984436,55.17044205
Wassa Amenfi East Municipal,3.558718861,77.28337237,24.49653736,82.01125123,88.00687155,3.378146711,22.21551008,0.924042687,67.1962319,7.765830346,70.43799709
Wassa Amenfi Central,0,143.1372549,25.84633103,78.29148087,79.2566299,3.362428843,14.64444966,1.265113019,66.40528321,6.52173913,63.55615881
Wassa Amenfi West Municipal,2.793296089,105.9027778,27.9213471,80.98214065,83.84013043,4.763475894,26.61611047,1.396201266,70.2681644,3.552397869,63.6244204
Komenda Edina Eguafo Abirem Municipal,0,62.61859583,28.56258585,92.9701854,97.02271588,9.30538832,19.34399532,0.853628536,69.18869876,5.364238411,38.88369192
Cape Cape Metropolitan Area (CCMA),1.700680272,27.19033233,29.79394406,97.30116541,99.80576569,7.466331212,50.16697335,0.424864016,86.25560831,6.938527085,63.52651337
Abura Asebu Kwamankese,0,79.02298851,29.85332379,92.6593655,96.14401421,10.36158681,21.18774049,0.824538259,67.34835316,5.670926518,53.93868516
Mfantsiman Municipal,0,44.95268139,28.56479562,91.20556152,99.40654496,9.017364965,28.05440947,0.514043977,72.64074289,6.192170819,51.82670945
Ekumfi,4.672897196,44.38642298,29.23891129,90.67831631,97.46147943,6.667838519,13.46596611,2.404043164,61.26512097,3.344481605,37.95409362
Gomoa West,2.173913043,83.75,31.53251029,89.76665802,98.68032149,8.530441875,18.92403422,1.185634737,65.42990398,6.666666667,43.55082254
Effutu Municipal,0,50,26.03356911,95.74182261,99.90940048,12.08938953,51.55737449,0.513196481,79.37413918,6.12244898,55.1535687
Gomoa Central,3.401360544,87.83783784,34.21907496,93.61668634,99.33884298,6.24867538,42.31404959,0.537422345,74.46417215,5.821205821,55.59082031
Gomoa East,0.996015936,40.29550034,24.73910374,96.82621416,97.55880632,6.802193813,64.50321826,0.257048542,85.4621918,6.928838951,76.96331655
Awutu Senya East Municipal,0,24.30846605,24.25274463,97.80149729,99.03194722,7.636084544,72.27188496,0.237265515,88.65357456,7.23025584,87.02838205
Awutu Senya,0,69.79405034,30.38334589,92.1719909,90.74794363,10.4680139,35.08044804,0.766340723,71.56118825,8.396946565,58.96504197
Agona East,0,64.88549618,32.3256464,84.38190608,92.79350829,5.673021021,31.78867403,1.004562204,72.30328442,6.166666667,53.14177455
Agona West Municipal,4.395604396,47.86545925,31.08421401,89.94954223,94.4907418,6.364795918,46.44169958,0.896516393,77.24686117,7.176470588,66.53264835
Asikuma Odoben Brakwa,4.555808656,88.23529412,34.46166943,85.49069734,86.98196279,4.317737671,19.85797472,0.724156468,70.90819481,3.993203059,59.71211515
Ajumako Enyan Essiam,2.506265664,98.0966325,34.20374707,91.70537848,92.08667866,6.018301877,21.89522301,1.254180602,71.81733021,5.419029616,61.3134941
Assin South,0,94.06657019,34.21496369,87.8065257,89.39066405,4.72438745,19.13801257,0.428544811,70.12428948,3.850931677,62.38762687
Twifo Heman Lower Denkyira,8.438818565,75.18796992,31.61965812,90.01958042,83.54125874,8.212283103,21.98041958,1.055959909,69.42307692,4.423076923,70.1563458
Twifo Ati Morkwa,3.003003003,76.77902622,32.89771263,82.92160985,88.58687491,4.535705274,26.56179607,0.956937799,70.8439495,4.214559387,67.67267571
Assin Fosu Municipal,0,68.18181818,37.31340903,92.15671558,96.17592975,7.021262928,40.19964724,0.562283737,82.09045675,6.809078772,75.00290934
